frame,tag,xN,yN,wN,hN,xS,yS,wS,hS
0,1,76.4443,13.2546,30,111,114.306,419.385,49,156
1,1,78.4405,12.9869,32,112,114.985,418.904,48,160
2,1,78.4359,12.7191,32,113,114.994,418.422,48,164
3,1,78.0266,8.41852,31,109,115.034,416.249,46,162
4,1,78.0266,8.41852,31,109,115.039,416.007,46,164
5,1,77.6918,8.41852,30,109,113.436,417.94,45,168
6,1,78.3707,8.95773,32,107,112.325,417.458,46,172
7,1,78.6961,8.41852,33,109,114.125,416.975,56,176
8,1,77.7782,13.2546,34,111,111.035,413.456,50,175
9,1,76.7778,13.2546,33,111,111.053,412.113,52,176
10,1,76.1108,13.2546,35,111,111.745,411.011,53,175
11,1,75.1211,13.7896,34,109,111.975,410.766,52,177
12,1,73.7878,13.7896,32,109,111.53,410.275,52,181
13,1,73.5116,16.4577,33,109,112.09,387.049,49,165
14,1,73.5684,19.1142,33,109,111.861,386.789,46,167
15,1,72.0171,23.867,32,111,111.865,386.53,46,169
16,1,72.3536,24.13,33,110,111.665,384.185,45,167
17,1,72.1303,28.8441,32,112,110.755,382.484,43,170
18,1,72.1303,28.8441,32,112,110.278,383.27,45,174
19,1,72.2368,33.522,32,114,109.363,381.696,49,176
20,1,71.2589,33.7808,33,113,109.194,375.744,46,171
21,1,70.2878,34.2981,32,111,109.403,378.135,45,173
22,1,70.4008,38.9341,32,113,109.627,379.061,44,176
23,1,70.0743,38.9341,33,113,109.964,370.248,43,172
24,1,68.9767,34.2981,32,111,110.829,357.799,42,163
25,1,68.7087,36.6205,33,112,111.107,354.876,43,164
26,1,68.7682,38.9341,33,113,110.628,354.597,41,166
27,1,68.8866,43.5347,33,115,110.63,354.457,41,167
28,1,69.0041,48.1003,33,117,110.209,349.254,39,164
29,1,69.2363,57.1281,33,121,109.858,337.213,41,158
30,1,69.9358,59.3638,35,122,109.385,335.466,39,160
31,1,69.9358,59.3638,35,122,108.894,335.321,41,161
32,1,70.3123,61.591,34,123,109.634,335.175,40,162
33,1,70.3123,61.591,34,123,110.865,335.175,41,162
34,1,70.6874,63.81,33,124,111.446,328.264,43,159
35,1,71.1147,68.2229,34,126,113.018,322.449,45,158
36,1,70.2142,70.417,37,127,113.038,321.097,45,157
37,1,71.1682,70.417,40,127,111.055,319.59,37,157
38,1,72.1222,70.417,39,127,109.293,320.495,32,161
39,1,73.0761,70.417,38,127,108.794,320.344,36,162
40,1,75.0302,72.6031,36,128,109.797,320.193,48,163
41,1,73.4432,72.6031,29,128,109.296,320.193,50,163
42,1,72.8586,74.7809,27,129,109.352,314.733,50,159
43,1,71.5914,74.7809,27,129,110.092,316.104,45,160
44,1,72.5418,74.7809,28,129,109.324,317.471,42,161
45,1,73.1754,74.7809,30,129,109.029,321.849,37,162
46,1,73.4976,75.0224,29,128,108.989,325.887,37,165
47,1,74.1311,75.0224,31,128,109.486,325.887,35,165
48,1,74.3533,70.6603,30,126,108.99,325.738,37,166
49,1,74.9943,70.9035,32,125,109.486,325.887,39,165
50,1,74.9943,70.9035,32,125,109.237,325.887,38,165
51,1,74.2634,66.5107,30,123,108.951,329.595,37,160
52,1,74.5825,66.5107,31,123,108.913,333.42,37,164
53,1,74.5825,66.5107,31,123,107.913,334.883,37,164
54,1,74.2156,64.3019,30,122,106.916,336.341,37,164
55,1,73.5161,61.591,30,123,106.906,337.649,37,165
56,1,72.7738,57.1281,30,121,106.896,338.953,37,166
57,1,72.0259,52.6313,30,119,107.32,346.843,39,171
58,1,71.7031,52.6313,31,119,108.253,350.948,39,172
59,1,71.3803,52.6313,32,119,109.165,356.271,39,174
60,1,71.2663,47.8475,32,118,110.359,356.966,40,169
61,1,71.2602,47.5947,32,119,111.557,357.244,41,167
62,1,71.5904,47.8475,31,118,112.294,356.131,42,165
63,1,72.5569,47.5947,32,119,113.494,356.271,41,164
64,1,73.2109,47.8475,30,118,112.75,357.799,40,163
65,1,73.535,47.8475,31,118,112.47,360.566,39,163
66,1,74.08,43.0252,33,117,112.417,364.273,37,166
67,1,74.08,43.0252,33,117,112.894,364.273,35,166
68,1,74.08,43.0252,33,117,114.46,370.383,36,171
69,1,74.08,43.0252,33,117,115.546,375.744,37,171
70,1,74.0691,42.5154,33,119,117.307,381.696,39,176
71,1,74.3946,42.5154,32,119,118.674,383.27,45,174
72,1,74.3839,42.005,34,121,121.003,383.401,39,173
73,1,74.3892,42.2603,34,120,122.868,383.401,35,173
74,1,74.2918,37.6499,34,118,125.588,386.01,35,173
75,1,74.2918,37.6499,34,118,126.037,386.53,37,169
76,1,74.9456,37.6499,32,118,128.571,387.179,38,164
77,1,65.147,37.9069,94,117,129.031,387.308,38,163
78,0,-1,-1,-1,-1,-1,-1,-1,-1
79,0,-1,-1,-1,-1,-1,-1,-1,-1
80,0,-1,-1,-1,-1,-1,-1,-1,-1
81,0,-1,-1,-1,-1,-1,-1,-1,-1
82,0,-1,-1,-1,-1,-1,-1,-1,-1
83,0,-1,-1,-1,-1,-1,-1,-1,-1
84,0,-1,-1,-1,-1,-1,-1,-1,-1
85,0,-1,-1,-1,-1,-1,-1,-1,-1
86,0,-1,-1,-1,-1,-1,-1,-1,-1
87,0,-1,-1,-1,-1,-1,-1,-1,-1
88,0,-1,-1,-1,-1,-1,-1,-1,-1
89,0,-1,-1,-1,-1,-1,-1,-1,-1
90,0,-1,-1,-1,-1,-1,-1,-1,-1
91,0,-1,-1,-1,-1,-1,-1,-1,-1
92,0,-1,-1,-1,-1,-1,-1,-1,-1
93,0,-1,-1,-1,-1,-1,-1,-1,-1
94,0,-1,-1,-1,-1,-1,-1,-1,-1
95,0,-1,-1,-1,-1,-1,-1,-1,-1
96,0,-1,-1,-1,-1,-1,-1,-1,-1
97,0,-1,-1,-1,-1,-1,-1,-1,-1
98,0,-1,-1,-1,-1,-1,-1,-1,-1
99,0,-1,-1,-1,-1,-1,-1,-1,-1
100,0,-1,-1,-1,-1,-1,-1,-1,-1
101,0,-1,-1,-1,-1,-1,-1,-1,-1
102,0,-1,-1,-1,-1,-1,-1,-1,-1
103,0,-1,-1,-1,-1,-1,-1,-1,-1
104,0,-1,-1,-1,-1,-1,-1,-1,-1
105,0,-1,-1,-1,-1,-1,-1,-1,-1
106,0,-1,-1,-1,-1,-1,-1,-1,-1
107,0,-1,-1,-1,-1,-1,-1,-1,-1
108,0,-1,-1,-1,-1,-1,-1,-1,-1
109,0,-1,-1,-1,-1,-1,-1,-1,-1
